Comments,summary,sentiment_label
"Amazing content crisp and clear,the main thing like challenge because while trying to solve that challenge it is very helpful to search those things on internet and try and then see what the challenge answer and try to figure out that mistakes","content crisp and clear,the main thing like challenge because while trying to solve that challenge it is very helpful to search those things on internet and try and then see what the challenge answer and try to figure out mistakes .",POSITIVE
"Un curso bastante completo, decidí verlo desde el comienzo a pesar de tener experiencia con bastantes de los temas que se ven y los temas me parecen muy bien desarrollados, sencillos de entender con las analogías que se muestran, las explicaciones tienen un tinte cómico por lo que el progreso es cómodo y la expositora es muy sincera con los detalles que implica cada sección, no basta con ver los videos, se deben realizar las prácticas (que son bastantes) y debes mostrar tu compromiso indagando por una respuesta por los diferentes medios que se proporcionan.","el comienzo a pesar de tener experiencia con bastantes de los temas que se ven y las temas me parecen muy bien desarrollados, sencillos de entender con las analogas tienen un tinte cómico por lo que se muestran, es muy sincera con los detalles que implica cada sección, no basta con ver los de",NEGATIVE
"As a software professional on the embedded side that has wanting to make a jump to the web side, this is EXACTLY what I was looking for. With that being said, it starts off at a perfect pace for a beginner as well, with plenty of challenges along the way to test and refine knowledge as it's gained instead of hurrying off to the next topic.","as a software professional on the embedded side, this is EXACTLY what I was looking for . it starts off at a perfect pace for a beginner as well .",POSITIVE
"fantastic online learning.  Teacher Angela explains the material clearly and simple, making analogy to common live events. The theory accompanied with the practical exercise will make sure that the learners grasp the idea.",teacher Angela explains the material clearly and simple . accompanied with the practical exercise will make sure that the learners grasp the idea .,POSITIVE
"Course is not up to date, even though it is engaging. Backend needs to be updated more often. I managed to get through the course, but I had many obstacles which on the one side took me a lot of time, on the other I am now understanding things more clearly. So, its good, but far from best","course is not up to date, even though it is engaging . backend needs to be updated more often . it is good, but far from best .",POSITIVE
I am facing difficulty in API authentication section the tasks which were provided with that and below that i wasnt able to complete it but i am trying my best to understand them so that in future i could learn all of them by practicing them.,I am facing difficulty in API authentication section the tasks which were provided with that and below that i wasnt able to complete it but i am trying my best to understand them so that in future i could learn all of them by practicing them .,NEGATIVE
"The course is exceptional at teaching the core concepts and providing examples, it still needs to be complemented with database managing (normalization), DevOps pipelines, and Agile development practices to become an integral web developer. The only really deprecative aspect is that some modules are outdated, the course instructs to use the versions listed, but sometimes they're not available anymore, and it's more important to learn the current version, since that's what would be expected when working. This is especially noticeable in the MongoDB and mongoose modules, where almost the whole module doesn't remotely resemble the current state of MongoDB and Mongoose.","the course is exceptional at teaching the core concepts and providing examples . it needs to be complemented with database management, devOps pipelines, and Agile development practices . some modules are outdated, but sometimes they're not available anymore .",NEGATIVE
I started taking this course at the beginning of the year but due to my exams I had to quit taking this course. I have started with the course again  and it's different compared to what it was at the beginning of the year and it has definitely improved for good. Judging on the videos so far it feels like the course is now more self practice oriented.,I started taking this course at the beginning of the year but due to my exams I had to quit taking it again . the course is now more self practice oriented .,POSITIVE
I am very thankful to Angela taught me very well but in my opinion this is a very good course for beginners who want to become only front-end web developers not full stack developers. I found this course very difficult to become a full stack web developer because I have zero knowledge about programming.,this is a very good course for beginners who want to become only front-end web developers not full stack developers . I found this course very difficult because I have zero knowledge about programming .,POSITIVE
"Angela takes her time to explain a lot of the concepts and gives us the documentation so we can do further research.  My biggest complaint is not being able to report any bugs in the course.  Example: The username and password for the API Section 28 does NOT work.  Every username I try to enter returns an error saying ""username already taken"".  Please fix or give us a way we can contact you/your reps when we encounter these little 'annoyances'.  Thank you and keep up the otherwise exceptional work!","the username and password for the API section 28 does NOT work . every username I try to enter returns an error saying ""username already taken""",NEGATIVE
"Initially, I rated this course 5 stars and EVERYTHING was indeed 5 stars till authentication module where everythig was outdated and I thought it's just Authentication module and that's it BUT then React module came after where everything is so outdated that you cannot do a single thing from video without getting an error that says that way of doing it is outdated and no longer supported. I remember from Angela video that she once said that we should rethink twice before buying an outdated udemy course..Huge dissapointment at the end because I could not get a single full project from this course without not watching 8+ hours youtube tutorials to cover the holes from this course...",udemy course was rated 5 stars and everythig was 5 stars till authentication module . it's so outdated that you can't do a single thing from video without getting an error that says that way of doing it is outdated .,NEGATIVE
Everything is taught from scratch and build on to advanced topics. Very precise and clear cut knowledge by the video instructor to build the understanding. Thankyou @Dr. Angela Yu for providing such a beautiful course!!,everything is taught from scratch and build on to advanced topics . very precise and clear cut knowledge by the video instructor to build the understanding . thankyou @Dr. Angela Yu for providing such a beautiful course!!,POSITIVE
"It's great and exciting! I am halfway through my learning. I would say, this is the most amazing e-learning I have ever experienced. There are a lot of new things I have learned as a full-stack web developer. Thanks for this great opportunity!",this is the most amazing e-learning I have ever experienced . there are a lot of new things I have learned as a full-stack developer .,POSITIVE
"Best course available on the internet at most affordable cost to learn the fundamentals of every technology which is used in building a web application. It is THE  BEST COURSE for BEGINNERS to learn Full Stack Web Development. But this course all by itself is not completely enough to be a web developer who earns good salary. Might need to take some extra courses on React JS and Next JS to be better employable. But none the less this is by far the best course at this cost covering most of the content what others do at say 10-20k Indian Rupees. So, if you are starting out definitely this Course is a NO BRAINER for you to buy and start learning Full Stack Web Development. And a HUGE THANKS to one of the best instructors I have come across since my schooling ANGELA YU. Thank you for creating this course on Udemy for everyone to learn Web Development. GREAT CONTENT.",it is the best course available on the internet at most affordable cost to learn the fundamentals of every technology which is used in building a web application . but this course is by far the best at this cost covering most of the content what others do at say 10-20k Indian Rupees .,POSITIVE
After completing this course I feel confident. After lots of ups and down finally I completed this course. Thanks to you for this wonderful course and I hope that you always brings new things. This was very wonderful and knowledgeable journey.,"thanks to you for this wonderful course and I hope that you always brings new things . this was very wonderful and knowledgeable journey . if you have any questions, please contact me at e-mail .",POSITIVE
Angela has been helping me to get to my educational goals. Having a outstanding teacher has helped me be successful in all of my current projects in her corse. I really love how easy she has made accessing further help on every project & I can go on my own time.,angela has been helping me to get to my educational goals . she has made accessing further help on every project in her corse . the teacher has helped me be successful in all of my current projects .,POSITIVE
"This course is very well-structured, every new topic has a project to practically understand what you learnt which I liked very much personally . The teaching style and analogy used by Instructor Ma'am are very nice which helped me to understand concepts easily.","this course is very well-structured, every new topic has a project to practically understand what you learnt which I liked very much personally . the teaching style and analogy used by instructor ma'am are very nice .",POSITIVE
"before taking this course i was a studying coding just by finding long hours YouTube videos and others. but this course was a hidden Jem for me now i found it. it is concise and to the point above all it is time saver. thank you, Angela, for making this course, wish you best of luck in your endeavors!!!",this course was a hidden Jem for me now i found it . it is concise and to the point above all it is time saver .,POSITIVE
"The tutor delivers exemplary presentations across all modules, demonstrating a profound understanding of the concepts. With mastery in simplifying complex ideas, she effectively conveys them in a manner accessible to individuals unfamiliar with computers, facilitating easy comprehension even for novices in the subject matter.",the tutor delivers exemplary presentations across all modules . she effectively conveys complex concepts in a manner accessible to individuals unfamiliar with computers .,POSITIVE
"I recently completed Angela's course, and I must say it was an outstanding experience. The course was incredibly engaging and entertaining throughout. Angela's teaching style is not only informative but also very enjoyable.",the course was incredibly engaging and entertaining throughout . the instructor's style is not only informative but also very enjoyable . I must say it was an outstanding experience .,POSITIVE
"Some topics are really well explained, with clear examples and do-able tasks to review the knowledge (like HTML, CSS, the first part of JS, DB), but suddenly, some parts get harder by x10, she just covered the knowledge very briefly and rushed to the tasks which are ridiculously hard (like advanced JS, server and API). So far I've crossed the middle point and still patient enough to grind everyday. Hope we can hang in there til the end=))","some topics are really well explained, with clear examples and do-able tasks to review the knowledge . but suddenly, some parts get harder by x10, she just covered the knowledge very briefly and rushed to the tasks which are ridiculously hard .",NEGATIVE
Detailed and good explanation of each concept. Provide add-ons to the projects from the beginning to the end. The videos consist of small and doable projects that help build up to the final projects.,the videos consist of small and doable projects that help build up to the final projects . Detailed and good explanation of each concept .,POSITIVE
"This being my first web development course, I felt a tremendous sense of accomplishment upon completing it, and I attribute this success to Angela Yu's exceptional teaching. While this course may not make you a fully-fledged developer, it certainly motivates you to explore further and equips you with valuable insights on how to learn, apply your knowledge, and identify areas for growth. It serves as an excellent introduction to the vast world of web development. Admittedly, the course content is somewhat outdated, necessitating the use of additional resources. Nevertheless, considering its price, this course is an absolute gem. I extend my heartfelt gratitude to Angela for her mentorship and the impressive way she delivers her lessons.","this is my first web development course, and I attribute this success to Angela's exceptional teaching . it serves as an excellent introduction to the vast world of web development .",POSITIVE
Backend section is messed up. It feels like lot's of things are missing and facing many issues. Also why is there Web3 and blockchain lectures in the end. We could have learned a lot more about react or how to use backend with frontend.,backend section is messed up. it feels like lot's of things are missing and facing many issues . why is there web3 and blockchain lectures in the end?,NEGATIVE
Its a really really good course.great job.4.5/5 because that blockchain section didnt worked for me it said so many missing files in creating icp:(.hope there will be a update for that section.,it said so many missing files in creating icp:(.hope there will be a update for that section.4.5/5 because that section didnt work for me.,NEGATIVE
"Yes, It was very nice course, nice explanation of content, only drawback i see is some(2-3) topics are not up to date they are outdated. But with some internet help you can learn them easily. Overall I say it's a nice course with good explanation of the topics.",some(2-3) topics are not up to date they are outdated . but with some internet help you can learn them easily . overall it's a nice course with good explanation of the topics.,POSITIVE
"Very very well structured, and the best thing to me in this course is it's not about only learning web development from scratch and knowing the industry used jargons and best practices, but this course also teaches you to learn almost anything and many other useful stuffs. Lots of love for the instructor Dr. Angela Yu.",this course teaches you to learn almost anything and many other useful stuff . it's not about only learning web development from scratch and knowing the industry used jargons and best practices .,POSITIVE
"The first few modules were AMAZING, easy to follow, and understandable. The pacing was great for us as beginners, which made us grasp the content and start training ourselves, linking what we learned every step of the way so easily. Once I reached the JavaScript section, it was as if another course had been just added to it or another instructor explaining things.","the first few modules were AMAZING, easy to follow, and understandable . the pacing was great for us as beginners, which made us grasp the content and start training ourselves .",POSITIVE
I've learned alot from this course this course is really amazing and i will recommend this course this to everyone who wanted to learn web development from beginner level. The things i like most about this course is structure of this course.,this course is really amazing and i will recommend this course to everyone who wanted to learn web development from beginner level . the things i like most about this course are structure of this course.,POSITIVE
"The only thing i didn't like was that when i was doing this course all my technology versions were way ahead of what were used in this course and this lead to many many issues and problem. Even to some point that I had to leave that section and move forward. The most problematic sections were the website deploy, the crypto and the NFT ones.","the most problematic sections were the website deploy, the crypto and the NFT ones . i didn't like that when i was doing this course all my technology versions were way ahead of what were used in this course .",NEGATIVE
"it is a tutorial that explains things in the simplest way possible like where the DR explained </html> as the bricks that's a really good example, being halfway made me realize that there are days when you gonna",a tutorial that explains things in the simplest way possible like where the DR explained /html> as the bricks that's a really good example .,POSITIVE
"Overall a very good course, I have learned what I consider to be a substantial amount in the past 2.5 months. However much of the course isn't updated, and some lessons are completely broken as a result. If you apply yourself you can most definitely work through the issues. The instructor speaks British English and is very easy to understand.",I have learned what I consider to be a substantial amount in the past 2.5 months . however much of the course isn't updated and some lessons are completely broken as a result .,NEGATIVE
"Algumas informações estão sendo atualizadas no começo e no fim do curso, porém tem coisas no meio dele que não foram ensinadas e, como ja foi atualizado no final, ela espera que você saiba, tendo que pesquisar muito para realizar as atividades, tirando isso é um ótimo curso","algumas informaçes esto sendo atualizadas no começo e no fim do curso, porém tem coisas no final, ela espera que pesquisar muito para realizar as atividades, tirando isso é um ótimo curso.",NEGATIVE
"The course started off great, I would have given it 5 stars. However, as the course progressed later on, there have been too many lectures that have not been updated in a long time, some even for years (react lecture is from 2019 for example), but the course is still advertised as the best 2023 course. In conclusion, too many outdated lectures that have many deprecated libraries, functions, software versions etc.","too many lectures have not been updated in a long time, some even for years . the course is still advertised as the best 2023 course .",POSITIVE
Angela's course is great and is fun to follow along. I can't provide a perfect score simply because some of the more important parts on the backend segment are outdated. Though I guess some would argue that the struggle to figure out the proper solution is part of the learning process. (It was stressful nonetheless),some of the more important parts on the backend segment are outdated . some would argue that the struggle to figure out the proper solution is part of the learning process .,POSITIVE
The course design and the learning flow are amazingly friendly. It is really helpful for a beginner to learn well on the fundamental knowledge and implementation with very clear explanations. The exercises helped to understand the concepts and can be completed in a reasonable time of thinking and disgesting.,the course design and the learning flow are amazingly friendly . the exercises helped to understand the concepts and can be completed in a reasonable time of thinking and disgesting.,POSITIVE
Courses rapidly become out-dated. This one unfortunately is no different. The database segments in particular are outmoded as Mongoose has had a substantial release moving away from callback functions. Calling this a “2023” course is very mid-leading.,the database segments in particular are outmoded as Mongoose has had a substantial release moving away from callback functions . the course is very mid-leading.,NEGATIVE
"My experience with this course was nothing short of exceptional and inspiring. I found every minute of the lessons extremely interesting and useful, especially since I have a deep passion for programming. The teacher had a unique and motivating teaching style that I had never encountered before in my educational journey; Her method was amazing and exceeded all expectations.",my experience with this course was nothing short of exceptional and inspiring . the teacher had a unique and motivating teaching style that I had never encountered before .,POSITIVE
"An impressive course! It is very well structured, concise and very useful due to the practical part that requires the student's involvement in creating applications. I recommend this course!","the course is very well structured, concise and useful due to the practical part that requires the student's involvement in creating applications . I recommend this course!",POSITIVE
Angela is the only person who made web development easy for me. I tried many free courses on youtube even in my native language but this course has taken me from scratch to a full web developer. Thank you Angela. I am happy to say that. My money did'nt got waste,I tried many free courses on youtube even in my native language . this course has taken me from scratch to a full web developer .,NEGATIVE
"I'm really enjoying learning web development, especially since I come from a Mechanical background. Angela's teaching style is fantastic – she breaks down every step and concept so well. I believe these skills will boost my career.","I'm really enjoying learning web development, especially since I come from a Mechanical background . she breaks down every step and concept so well .",POSITIVE
"While listening to this lecture, you'll encounter many obstacles caused by outdated and neglected content. Angela will ignore them. This course is significantly outdated. If you don't want to waste your time, don't choose this lecture.","this course is significantly outdated and neglected . if you don't want to waste your time, choose this lecture . you'll encounter many obstacles caused by outdated content.",NEGATIVE
"I faced issues in following from MongoDB, because the course part is outdated. But anyways I managed to follow the course eventually with external help. I got a lot to learn from this course.",I faced issues in following from mongoDB because the course part is outdated . but anyways I managed to follow the course eventually with external help .,NEGATIVE
"Fantastic course with Angela as an outstanding instructor – undoubtedly one of the best I've enrolled in. Unfortunately, completion is hindered by the outdated React Session, currently running on React 16.",the outdated React Session running on React 16 is hindered by the course's completion . it's currently running on react 16 .,NEGATIVE
It was a really excellent course I learned a lot from it. Before taking this course I did not know anything about web development but after taking this course I can say that I am now web-developer,it was a really excellent course I learned a lot from it . before taking this course I did not know anything about web development but I can say that I am now web-developer .,POSITIVE
